Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2023M08;10.076.734
Total;Dato base;2023M07;10.131.579
Total;Dato base;2023M06;8.318.325
Total;Dato base;2023M05;8.218.334
Total;Dato base;2023M04;7.235.055
Total;Dato base;2023M03;5.257.076
Total;Dato base;2023M02;4.321.152
Total;Dato base;2023M01;4.147.345
Total;Dato base;2022M12;4.127.293
Total;Dato base;2022M11;4.334.651
Total;Dato base;2022M10;7.176.984
Total;Dato base;2022M09;7.767.211
Total;Dato base;2022M08;8.848.665
Total;Dato base;2022M07;9.091.390
Total;Dato base;2022M06;7.498.156
Total;Dato base;2022M05;6.988.353
Total;Dato base;2022M04;6.106.316
Total;Dato base;2022M03;4.039.532
Total;Dato base;2022M02;3.179.288
Total;Dato base;2022M01;2.501.443
Total;Dato base;2021M12;2.947.525
Total;Dato base;2021M11;3.361.913
Total;Dato base;2021M10;5.148.820
Total;Dato base;2021M09;4.703.933
Total;Dato base;2021M08;5.196.520
Total;Dato base;2021M07;4.398.992
Total;Dato base;2021M06;2.216.356
Total;Dato base;2021M05;1.363.164
Total;Dato base;2021M04;629.206
Total;Dato base;2021M03;491.427
Total;Dato base;2021M02;284.974
Total;Dato base;2021M01;437.973
Total;Dato base;2020M12;648.989
Total;Dato base;2020M11;456.814
Total;Dato base;2020M10;1.020.773
Total;Dato base;2020M09;1.138.868
Total;Dato base;2020M08;2.440.978
Total;Dato base;2020M07;2.464.779
Total;Dato base;2020M06;204.272
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;1.997.262
Total;Dato base;2020M02;4.427.344
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
Total;Dato base;2017M12;3.982.530
Total;Dato base;2017M11;4.392.575
Total;Dato base;2017M10;7.269.931
Total;Dato base;2017M09;8.877.270
Total;Dato base;2017M08;10.397.745
Total;Dato base;2017M07;10.493.438
Total;Dato base;2017M06;8.431.975
Total;Dato base;2017M05;8.002.648
Total;Dato base;2017M04;7.081.594
Total;Dato base;2017M03;4.913.943
Total;Dato base;2017M02;4.119.137
Total;Dato base;2017M01;3.905.736
Total;Dato base;2016M12;3.990.446
Total;Dato base;2016M11;4.098.262
Total;Dato base;2016M10;7.137.723
Total;Dato base;2016M09;7.932.607
Total;Dato base;2016M08;10.027.471
Total;Dato base;2016M07;9.545.792
Total;Dato base;2016M06;7.552.758
Total;Dato base;2016M05;7.111.154
Total;Dato base;2016M04;6.086.327
Total;Dato base;2016M03;4.627.206
Total;Dato base;2016M02;3.678.726
Total;Dato base;2016M01;3.526.537
Total;Dato base;2015M12;3.512.914
Total;Dato base;2015M11;3.754.802
Total;Dato base;2015M10;6.432.341
Total;Tasa de variación anual;2023M08;13,88
Total;Tasa de variación anual;2023M07;11,44
Total;Tasa de variación anual;2023M06;10,94
Total;Tasa de variación anual;2023M05;17,6
Total;Tasa de variación anual;2023M04;18,48
Total;Tasa de variación anual;2023M03;30,14
Total;Tasa de variación anual;2023M02;35,92
Total;Tasa de variación anual;2023M01;65,8
Total;Tasa de variación anual;2022M12;40,03
Total;Tasa de variación anual;2022M11;28,93
Total;Tasa de variación anual;2022M10;39,39
Total;Tasa de variación anual;2022M09;65,12
Total;Tasa de variación anual;2022M08;70,28
Total;Tasa de variación anual;2022M07;106,67
Total;Tasa de variación anual;2022M06;238,31
Total;Tasa de variación anual;2022M05;412,66
Total;Tasa de variación anual;2022M04;870,48
Total;Tasa de variación anual;2022M03;722
Total;Tasa de variación anual;2022M02;1.015,64
Total;Tasa de variación anual;2022M01;471,14
Total;Tasa de variación anual;2021M12;354,17
Total;Tasa de variación anual;2021M11;635,95
Total;Tasa de variación anual;2021M10;404,4
Total;Tasa de variación anual;2021M09;313,04
Total;Tasa de variación anual;2021M08;112,89
Total;Tasa de variación anual;2021M07;78,47
Total;Tasa de variación anual;2021M06;985
Total;Tasa de variación anual;2021M05;..
Total;Tasa de variación anual;2021M04;..
Total;Tasa de variación anual;2021M03;-75,39
Total;Tasa de variación anual;2021M02;-93,56
Total;Tasa de variación anual;2021M01;-89,4
Total;Tasa de variación anual;2020M12;-84,92
Total;Tasa de variación anual;2020M11;-90,19
Total;Tasa de variación anual;2020M10;-86,55
Total;Tasa de variación anual;2020M09;-87,12
Total;Tasa de variación anual;2020M08;-75,88
Total;Tasa de variación anual;2020M07;-75,04
Total;Tasa de variación anual;2020M06;-97,69
Total;Tasa de variación anual;2020M05;-100
Total;Tasa de variación anual;2020M04;-100
Total;Tasa de variación anual;2020M03;-64,65
Total;Tasa de variación anual;2020M02;1,07
Total;Tasa de variación anual;2020M01;-1,49
Total;Tasa de variación anual;2019M12;-1,15
Total;Tasa de variación anual;2019M11;2,6
Total;Tasa de variación anual;2019M10;-0,81
Total;Tasa de variación anual;2019M09;-0,98
Total;Tasa de variación anual;2019M08;-0,56
Total;Tasa de variación anual;2019M07;-1,47
Total;Tasa de variación anual;2019M06;3,27
Total;Tasa de variación anual;2019M05;-2,06
Total;Tasa de variación anual;2019M04;5,39
Total;Tasa de variación anual;2019M03;4,75
Total;Tasa de variación anual;2019M02;3,85
Total;Tasa de variación anual;2019M01;2,17
Total;Tasa de variación anual;2018M12;9,35
Total;Tasa de variación anual;2018M11;3,29
Total;Tasa de variación anual;2018M10;5,23
Total;Tasa de variación anual;2018M09;0,62
Total;Tasa de variación anual;2018M08;-2,13
Total;Tasa de variación anual;2018M07;-4,51
Total;Tasa de variación anual;2018M06;1,45
Total;Tasa de variación anual;2018M05;1,04
Total;Tasa de variación anual;2018M04;-4,25
Total;Tasa de variación anual;2018M03;9,75
Total;Tasa de variación anual;2018M02;2,4
Total;Tasa de variación anual;2018M01;5,14
Total;Tasa de variación anual;2017M12;-0,2
Total;Tasa de variación anual;2017M11;7,18
Total;Tasa de variación anual;2017M10;1,85
Total;Tasa de variación anual;2017M09;11,91
Total;Tasa de variación anual;2017M08;3,69
Total;Tasa de variación anual;2017M07;9,93
Total;Tasa de variación anual;2017M06;11,64
Total;Tasa de variación anual;2017M05;12,54
Total;Tasa de variación anual;2017M04;16,35
Total;Tasa de variación anual;2017M03;6,2
Total;Tasa de variación anual;2017M02;11,97
Total;Tasa de variación anual;2017M01;10,75
Total;Tasa de variación anual;2016M12;13,59
Total;Tasa de variación anual;2016M11;9,15
Total;Tasa de variación anual;2016M10;10,97
Total;Tasa de variación anual;2016M09;9,52
Total;Tasa de variación anual;2016M08;6,34
Total;Tasa de variación anual;2016M07;9,99
Total;Tasa de variación anual;2016M06;12,89
Total;Tasa de variación anual;2016M05;8,19
Total;Tasa de variación anual;2016M04;11,59
Total;Tasa de variación anual;2016M03;15,45
Total;Tasa de variación anual;2016M02;13,95
Total;Tasa de variación anual;2016M01;11,04
Total;Tasa de variación anual;2015M12;7,92
Total;Tasa de variación anual;2015M11;10,56
Total;Tasa de variación anual;2015M10;8,89
Total;Acumulado en lo que va de año;2023M08;57.705.600
Total;Acumulado en lo que va de año;2023M07;47.628.867
Total;Acumulado en lo que va de año;2023M06;37.497.287
Total;Acumulado en lo que va de año;2023M05;29.178.962
Total;Acumulado en lo que va de año;2023M04;20.960.628
Total;Acumulado en lo que va de año;2023M03;13.725.573
Total;Acumulado en lo que va de año;2023M02;8.468.497
Total;Acumulado en lo que va de año;2023M01;4.147.345
Total;Acumulado en lo que va de año;2022M12;71.659.281
Total;Acumulado en lo que va de año;2022M11;67.531.989
Total;Acumulado en lo que va de año;2022M10;63.197.338
Total;Acumulado en lo que va de año;2022M09;56.020.354
Total;Acumulado en lo que va de año;2022M08;48.253.143
Total;Acumulado en lo que va de año;2022M07;39.404.478
Total;Acumulado en lo que va de año;2022M06;30.313.089
Total;Acumulado en lo que va de año;2022M05;22.814.932
Total;Acumulado en lo que va de año;2022M04;15.826.580
Total;Acumulado en lo que va de año;2022M03;9.720.263
Total;Acumulado en lo que va de año;2022M02;5.680.731
Total;Acumulado en lo que va de año;2022M01;2.501.443
Total;Acumulado en lo que va de año;2021M12;31.180.802
Total;Acumulado en lo que va de año;2021M11;28.233.277
Total;Acumulado en lo que va de año;2021M10;24.871.364
Total;Acumulado en lo que va de año;2021M09;19.722.543
Total;Acumulado en lo que va de año;2021M08;15.018.611
Total;Acumulado en lo que va de año;2021M07;9.822.091
Total;Acumulado en lo que va de año;2021M06;5.423.099
Total;Acumulado en lo que va de año;2021M05;3.206.743
Total;Acumulado en lo que va de año;2021M04;1.843.579
Total;Acumulado en lo que va de año;2021M03;1.214.373
Total;Acumulado en lo que va de año;2021M02;722.947
Total;Acumulado en lo que va de año;2021M01;437.973
Total;Acumulado en lo que va de año;2020M12;18.933.103
Total;Acumulado en lo que va de año;2020M11;18.284.113
Total;Acumulado en lo que va de año;2020M10;17.827.299
Total;Acumulado en lo que va de año;2020M09;16.806.526
Total;Acumulado en lo que va de año;2020M08;15.667.658
Total;Acumulado en lo que va de año;2020M07;13.226.680
Total;Acumulado en lo que va de año;2020M06;10.761.901
Total;Acumulado en lo que va de año;2020M05;10.557.629
Total;Acumulado en lo que va de año;2020M04;10.557.629
Total;Acumulado en lo que va de año;2020M03;10.557.629
Total;Acumulado en lo que va de año;2020M02;8.560.367
Total;Acumulado en lo que va de año;2020M01;4.133.024
Total;Acumulado en lo que va de año;2019M12;83.509.153
Total;Acumulado en lo que va de año;2019M11;79.204.413
Total;Acumulado en lo que va de año;2019M10;74.549.391
Total;Acumulado en lo que va de año;2019M09;66.961.642
Total;Acumulado en lo que va de año;2019M08;58.116.490
Total;Acumulado en lo que va de año;2019M07;47.998.124
Total;Acumulado en lo que va de año;2019M06;38.124.854
Total;Acumulado en lo que va de año;2019M05;29.290.961
Total;Acumulado en lo que va de año;2019M04;21.371.757
Total;Acumulado en lo que va de año;2019M03;14.225.723
Total;Acumulado en lo que va de año;2019M02;8.576.146
Total;Acumulado en lo que va de año;2019M01;4.195.641
Total;Acumulado en lo que va de año;2018M12;82.808.413
Total;Acumulado en lo que va de año;2018M11;78.453.616
Total;Acumulado en lo que va de año;2018M10;73.916.743
Total;Acumulado en lo que va de año;2018M09;66.266.882
Total;Acumulado en lo que va de año;2018M08;57.334.574
Total;Acumulado en lo que va de año;2018M07;47.158.813
Total;Acumulado en lo que va de año;2018M06;37.138.567
Total;Acumulado en lo que va de año;2018M05;28.584.261
Total;Acumulado en lo que va de año;2018M04;20.498.213
Total;Acumulado en lo que va de año;2018M03;13.717.834
Total;Acumulado en lo que va de año;2018M02;8.324.648
Total;Acumulado en lo que va de año;2018M01;4.106.601
Total;Acumulado en lo que va de año;2017M12;81.868.522
Total;Acumulado en lo que va de año;2017M11;77.885.991
Total;Acumulado en lo que va de año;2017M10;73.493.416
Total;Acumulado en lo que va de año;2017M09;66.223.486
Total;Acumulado en lo que va de año;2017M08;57.346.216
Total;Acumulado en lo que va de año;2017M07;46.948.471
Total;Acumulado en lo que va de año;2017M06;36.455.033
Total;Acumulado en lo que va de año;2017M05;28.023.059
Total;Acumulado en lo que va de año;2017M04;20.020.410
Total;Acumulado en lo que va de año;2017M03;12.938.816
Total;Acumulado en lo que va de año;2017M02;8.024.873
Total;Acumulado en lo que va de año;2017M01;3.905.736
Total;Acumulado en lo que va de año;2016M12;75.315.008
Total;Acumulado en lo que va de año;2016M11;71.324.562
Total;Acumulado en lo que va de año;2016M10;67.226.301
Total;Acumulado en lo que va de año;2016M09;60.088.578
Total;Acumulado en lo que va de año;2016M08;52.155.971
Total;Acumulado en lo que va de año;2016M07;42.128.500
Total;Acumulado en lo que va de año;2016M06;32.582.708
Total;Acumulado en lo que va de año;2016M05;25.029.951
Total;Acumulado en lo que va de año;2016M04;17.918.796
Total;Acumulado en lo que va de año;2016M03;11.832.469
Total;Acumulado en lo que va de año;2016M02;7.205.263
Total;Acumulado en lo que va de año;2016M01;3.526.537
Total;Acumulado en lo que va de año;2015M12;""
Total;Acumulado en lo que va de año;2015M11;""
Total;Acumulado en lo que va de año;2015M10;""
Total;Tasa de variación acumulada;2023M08;19,59
Total;Tasa de variación acumulada;2023M07;20,87
Total;Tasa de variación acumulada;2023M06;23,7
Total;Tasa de variación acumulada;2023M05;27,89
Total;Tasa de variación acumulada;2023M04;32,44
Total;Tasa de variación acumulada;2023M03;41,21
Total;Tasa de variación acumulada;2023M02;49,07
Total;Tasa de variación acumulada;2023M01;65,8
Total;Tasa de variación acumulada;2022M12;129,82
Total;Tasa de variación acumulada;2022M11;139,19
Total;Tasa de variación acumulada;2022M10;154,1
Total;Tasa de variación acumulada;2022M09;184,04
Total;Tasa de variación acumulada;2022M08;221,29
Total;Tasa de variación acumulada;2022M07;301,18
Total;Tasa de variación acumulada;2022M06;458,96
Total;Tasa de variación acumulada;2022M05;611,47
Total;Tasa de variación acumulada;2022M04;758,47
Total;Tasa de variación acumulada;2022M03;700,43
Total;Tasa de variación acumulada;2022M02;685,77
Total;Tasa de variación acumulada;2022M01;471,14
Total;Tasa de variación acumulada;2021M12;64,69
Total;Tasa de variación acumulada;2021M11;54,41
Total;Tasa de variación acumulada;2021M10;39,51
Total;Tasa de variación acumulada;2021M09;17,35
Total;Tasa de variación acumulada;2021M08;-4,14
Total;Tasa de variación acumulada;2021M07;-25,74
Total;Tasa de variación acumulada;2021M06;-49,61
Total;Tasa de variación acumulada;2021M05;-69,63
Total;Tasa de variación acumulada;2021M04;-82,54
Total;Tasa de variación acumulada;2021M03;-88,5
Total;Tasa de variación acumulada;2021M02;-91,55
Total;Tasa de variación acumulada;2021M01;-89,4
Total;Tasa de variación acumulada;2020M12;-77,33
Total;Tasa de variación acumulada;2020M11;-76,92
Total;Tasa de variación acumulada;2020M10;-76,09
Total;Tasa de variación acumulada;2020M09;-74,9
Total;Tasa de variación acumulada;2020M08;-73,04
Total;Tasa de variación acumulada;2020M07;-72,44
Total;Tasa de variación acumulada;2020M06;-71,77
Total;Tasa de variación acumulada;2020M05;-63,96
Total;Tasa de variación acumulada;2020M04;-50,6
Total;Tasa de variación acumulada;2020M03;-25,78
Total;Tasa de variación acumulada;2020M02;-0,18
Total;Tasa de variación acumulada;2020M01;-1,49
Total;Tasa de variación acumulada;2019M12;0,85
Total;Tasa de variación acumulada;2019M11;0,96
Total;Tasa de variación acumulada;2019M10;0,86
Total;Tasa de variación acumulada;2019M09;1,05
Total;Tasa de variación acumulada;2019M08;1,36
Total;Tasa de variación acumulada;2019M07;1,78
Total;Tasa de variación acumulada;2019M06;2,66
Total;Tasa de variación acumulada;2019M05;2,47
Total;Tasa de variación acumulada;2019M04;4,26
Total;Tasa de variación acumulada;2019M03;3,7
Total;Tasa de variación acumulada;2019M02;3,02
Total;Tasa de variación acumulada;2019M01;2,17
Total;Tasa de variación acumulada;2018M12;1,15
Total;Tasa de variación acumulada;2018M11;0,73
Total;Tasa de variación acumulada;2018M10;0,58
Total;Tasa de variación acumulada;2018M09;0,07
Total;Tasa de variación acumulada;2018M08;-0,02
Total;Tasa de variación acumulada;2018M07;0,45
Total;Tasa de variación acumulada;2018M06;1,88
Total;Tasa de variación acumulada;2018M05;2
Total;Tasa de variación acumulada;2018M04;2,39
Total;Tasa de variación acumulada;2018M03;6,02
Total;Tasa de variación acumulada;2018M02;3,74
Total;Tasa de variación acumulada;2018M01;5,14
Total;Tasa de variación acumulada;2017M12;8,7
Total;Tasa de variación acumulada;2017M11;9,2
Total;Tasa de variación acumulada;2017M10;9,32
Total;Tasa de variación acumulada;2017M09;10,21
Total;Tasa de variación acumulada;2017M08;9,95
Total;Tasa de variación acumulada;2017M07;11,44
Total;Tasa de variación acumulada;2017M06;11,88
Total;Tasa de variación acumulada;2017M05;11,96
Total;Tasa de variación acumulada;2017M04;11,73
Total;Tasa de variación acumulada;2017M03;9,35
Total;Tasa de variación acumulada;2017M02;11,38
Total;Tasa de variación acumulada;2017M01;10,75
Total;Tasa de variación acumulada;2016M12;10,46
Total;Tasa de variación acumulada;2016M11;10,29
Total;Tasa de variación acumulada;2016M10;10,36
Total;Tasa de variación acumulada;2016M09;10,29
Total;Tasa de variación acumulada;2016M08;10,41
Total;Tasa de variación acumulada;2016M07;11,42
Total;Tasa de variación acumulada;2016M06;11,85
Total;Tasa de variación acumulada;2016M05;11,54
Total;Tasa de variación acumulada;2016M04;12,93
Total;Tasa de variación acumulada;2016M03;13,64
Total;Tasa de variación acumulada;2016M02;12,5
Total;Tasa de variación acumulada;2016M01;11,04
Total;Tasa de variación acumulada;2015M12;""
Total;Tasa de variación acumulada;2015M11;""
Total;Tasa de variación acumulada;2015M10;""
01 Andalucía;Dato base;2023M08;1.441.316
01 Andalucía;Dato base;2023M07;1.347.864
01 Andalucía;Dato base;2023M06;1.158.887
01 Andalucía;Dato base;2023M05;1.211.790
01 Andalucía;Dato base;2023M04;1.156.341
01 Andalucía;Dato base;2023M03;803.139
01 Andalucía;Dato base;2023M02;611.588
01 Andalucía;Dato base;2023M01;571.873
01 Andalucía;Dato base;2022M12;533.927
01 Andalucía;Dato base;2022M11;592.129
01 Andalucía;Dato base;2022M10;1.048.112
01 Andalucía;Dato base;2022M09;1.101.005
01 Andalucía;Dato base;2022M08;1.295.900
01 Andalucía;Dato base;2022M07;1.122.579
01 Andalucía;Dato base;2022M06;1.009.682
01 Andalucía;Dato base;2022M05;1.040.000
01 Andalucía;Dato base;2022M04;908.068
01 Andalucía;Dato base;2022M03;609.932
01 Andalucía;Dato base;2022M02;425.087
01 Andalucía;Dato base;2022M01;323.469
01 Andalucía;Dato base;2021M12;332.287
01 Andalucía;Dato base;2021M11;486.298
01 Andalucía;Dato base;2021M10;813.081
01 Andalucía;Dato base;2021M09;687.624
01 Andalucía;Dato base;2021M08;699.075
01 Andalucía;Dato base;2021M07;555.120
01 Andalucía;Dato base;2021M06;296.125
01 Andalucía;Dato base;2021M05;166.171
01 Andalucía;Dato base;2021M04;83.006
01 Andalucía;Dato base;2021M03;51.049
01 Andalucía;Dato base;2021M02;28.715
01 Andalucía;Dato base;2021M01;49.789
01 Andalucía;Dato base;2020M12;60.600
01 Andalucía;Dato base;2020M11;49.175
01 Andalucía;Dato base;2020M10;143.610
01 Andalucía;Dato base;2020M09;179.190
01 Andalucía;Dato base;2020M08;363.850
01 Andalucía;Dato base;2020M07;359.754
01 Andalucía;Dato base;2020M06;13.997
01 Andalucía;Dato base;2020M05;0
01 Andalucía;Dato base;2020M04;0
01 Andalucía;Dato base;2020M03;298.332
01 Andalucía;Dato base;2020M02;626.653
01 Andalucía;Dato base;2020M01;605.451
01 Andalucía;Dato base;2019M12;557.861
01 Andalucía;Dato base;2019M11;614.169
01 Andalucía;Dato base;2019M10;1.191.120
01 Andalucía;Dato base;2019M09;1.375.342
01 Andalucía;Dato base;2019M08;1.403.701
01 Andalucía;Dato base;2019M07;1.256.656
01 Andalucía;Dato base;2019M06;1.243.394
01 Andalucía;Dato base;2019M05;1.204.749
01 Andalucía;Dato base;2019M04;1.131.483
01 Andalucía;Dato base;2019M03;842.934
01 Andalucía;Dato base;2019M02;626.983
01 Andalucía;Dato base;2019M01;574.761
01 Andalucía;Dato base;2018M12;552.595
01 Andalucía;Dato base;2018M11;604.357
01 Andalucía;Dato base;2018M10;1.140.163
01 Andalucía;Dato base;2018M09;1.319.350
01 Andalucía;Dato base;2018M08;1.424.410
01 Andalucía;Dato base;2018M07;1.327.577
01 Andalucía;Dato base;2018M06;1.168.948
01 Andalucía;Dato base;2018M05;1.193.716
01 Andalucía;Dato base;2018M04;1.044.566
01 Andalucía;Dato base;2018M03;787.749
01 Andalucía;Dato base;2018M02;579.798
01 Andalucía;Dato base;2018M01;538.026
01 Andalucía;Dato base;2017M12;510.486
01 Andalucía;Dato base;2017M11;569.632
01 Andalucía;Dato base;2017M10;1.119.427
01 Andalucía;Dato base;2017M09;1.327.059
01 Andalucía;Dato base;2017M08;1.422.593
01 Andalucía;Dato base;2017M07;1.356.267
01 Andalucía;Dato base;2017M06;1.164.980
01 Andalucía;Dato base;2017M05;1.176.002
01 Andalucía;Dato base;2017M04;1.044.661
01 Andalucía;Dato base;2017M03;720.603
01 Andalucía;Dato base;2017M02;584.543
01 Andalucía;Dato base;2017M01;522.009
01 Andalucía;Dato base;2016M12;495.562
01 Andalucía;Dato base;2016M11;548.318
01 Andalucía;Dato base;2016M10;1.094.199
01 Andalucía;Dato base;2016M09;1.117.892
01 Andalucía;Dato base;2016M08;1.374.753
01 Andalucía;Dato base;2016M07;1.211.907
01 Andalucía;Dato base;2016M06;1.057.266
01 Andalucía;Dato base;2016M05;1.091.989
01 Andalucía;Dato base;2016M04;967.258
01 Andalucía;Dato base;2016M03;683.760
01 Andalucía;Dato base;2016M02;493.279
01 Andalucía;Dato base;2016M01;453.459
01 Andalucía;Dato base;2015M12;446.806
01 Andalucía;Dato base;2015M11;487.964
01 Andalucía;Dato base;2015M10;996.515
01 Andalucía;Tasa de variación anual;2023M08;11,22
01 Andalucía;Tasa de variación anual;2023M07;20,07
01 Andalucía;Tasa de variación anual;2023M06;14,78
01 Andalucía;Tasa de variación anual;2023M05;16,52
01 Andalucía;Tasa de variación anual;2023M04;27,34
01 Andalucía;Tasa de variación anual;2023M03;31,68
01 Andalucía;Tasa de variación anual;2023M02;43,87
01 Andalucía;Tasa de variación anual;2023M01;76,79
01 Andalucía;Tasa de variación anual;2022M12;60,68
01 Andalucía;Tasa de variación anual;2022M11;21,76
01 Andalucía;Tasa de variación anual;2022M10;28,91
01 Andalucía;Tasa de variación anual;2022M09;60,12
01 Andalucía;Tasa de variación anual;2022M08;85,37
01 Andalucía;Tasa de variación anual;2022M07;102,22
01 Andalucía;Tasa de variación anual;2022M06;240,96
01 Andalucía;Tasa de variación anual;2022M05;525,86
01 Andalucía;Tasa de variación anual;2022M04;993,98
01 Andalucía;Tasa de variación anual;2022M03;1.094,79
01 Andalucía;Tasa de variación anual;2022M02;1.380,39
01 Andalucía;Tasa de variación anual;2022M01;549,68
01 Andalucía;Tasa de variación anual;2021M12;448,33
01 Andalucía;Tasa de variación anual;2021M11;888,91
01 Andalucía;Tasa de variación anual;2021M10;466,17
01 Andalucía;Tasa de variación anual;2021M09;283,74
01 Andalucía;Tasa de variación anual;2021M08;92,13
01 Andalucía;Tasa de variación anual;2021M07;54,31
01 Andalucía;Tasa de variación anual;2021M06;2.015,59
01 Andalucía;Tasa de variación anual;2021M05;..
01 Andalucía;Tasa de variación anual;2021M04;..
01 Andalucía;Tasa de variación anual;2021M03;-82,89
01 Andalucía;Tasa de variación anual;2021M02;-95,42
01 Andalucía;Tasa de variación anual;2021M01;-91,78
01 Andalucía;Tasa de variación anual;2020M12;-89,14
01 Andalucía;Tasa de variación anual;2020M11;-91,99
01 Andalucía;Tasa de variación anual;2020M10;-87,94
01 Andalucía;Tasa de variación anual;2020M09;-86,97
01 Andalucía;Tasa de variación anual;2020M08;-74,08
01 Andalucía;Tasa de variación anual;2020M07;-71,37
01 Andalucía;Tasa de variación anual;2020M06;-98,87
01 Andalucía;Tasa de variación anual;2020M05;-100
01 Andalucía;Tasa de variación anual;2020M04;-100
01 Andalucía;Tasa de variación anual;2020M03;-64,61
01 Andalucía;Tasa de variación anual;2020M02;-0,05
01 Andalucía;Tasa de variación anual;2020M01;5,34
01 Andalucía;Tasa de variación anual;2019M12;0,95
01 Andalucía;Tasa de variación anual;2019M11;1,62
01 Andalucía;Tasa de variación anual;2019M10;4,47
01 Andalucía;Tasa de variación anual;2019M09;4,24
01 Andalucía;Tasa de variación anual;2019M08;-1,45
01 Andalucía;Tasa de variación anual;2019M07;-5,34
01 Andalucía;Tasa de variación anual;2019M06;6,37
01 Andalucía;Tasa de variación anual;2019M05;0,92
01 Andalucía;Tasa de variación anual;2019M04;8,32
01 Andalucía;Tasa de variación anual;2019M03;7,01
01 Andalucía;Tasa de variación anual;2019M02;8,14
01 Andalucía;Tasa de variación anual;2019M01;6,83
01 Andalucía;Tasa de variación anual;2018M12;8,25
01 Andalucía;Tasa de variación anual;2018M11;6,1
01 Andalucía;Tasa de variación anual;2018M10;1,85
01 Andalucía;Tasa de variación anual;2018M09;-0,58
01 Andalucía;Tasa de variación anual;2018M08;0,13
01 Andalucía;Tasa de variación anual;2018M07;-2,12
01 Andalucía;Tasa de variación anual;2018M06;0,34
01 Andalucía;Tasa de variación anual;2018M05;1,51
01 Andalucía;Tasa de variación anual;2018M04;-0,01
01 Andalucía;Tasa de variación anual;2018M03;9,32
01 Andalucía;Tasa de variación anual;2018M02;-0,81
01 Andalucía;Tasa de variación anual;2018M01;3,07
01 Andalucía;Tasa de variación anual;2017M12;3,01
01 Andalucía;Tasa de variación anual;2017M11;3,89
01 Andalucía;Tasa de variación anual;2017M10;2,31
01 Andalucía;Tasa de variación anual;2017M09;18,71
01 Andalucía;Tasa de variación anual;2017M08;3,48
01 Andalucía;Tasa de variación anual;2017M07;11,91
01 Andalucía;Tasa de variación anual;2017M06;10,19
01 Andalucía;Tasa de variación anual;2017M05;7,69
01 Andalucía;Tasa de variación anual;2017M04;8
01 Andalucía;Tasa de variación anual;2017M03;5,39
01 Andalucía;Tasa de variación anual;2017M02;18,5
01 Andalucía;Tasa de variación anual;2017M01;15,12
01 Andalucía;Tasa de variación anual;2016M12;10,91
01 Andalucía;Tasa de variación anual;2016M11;12,37
01 Andalucía;Tasa de variación anual;2016M10;9,8
01 Andalucía;Tasa de variación anual;2016M09;11
01 Andalucía;Tasa de variación anual;2016M08;5,77
01 Andalucía;Tasa de variación anual;2016M07;11,31
01 Andalucía;Tasa de variación anual;2016M06;15,26
01 Andalucía;Tasa de variación anual;2016M05;15,07
01 Andalucía;Tasa de variación anual;2016M04;15,63
01 Andalucía;Tasa de variación anual;2016M03;29,9
01 Andalucía;Tasa de variación anual;2016M02;20,68
01 Andalucía;Tasa de variación anual;2016M01;21,63
01 Andalucía;Tasa de variación anual;2015M12;28,01
01 Andalucía;Tasa de variación anual;2015M11;26,71
01 Andalucía;Tasa de variación anual;2015M10;20,59
01 Andalucía;Acumulado en lo que va de año;2023M08;8.302.797
01 Andalucía;Acumulado en lo que va de año;2023M07;6.861.481
01 Andalucía;Acumulado en lo que va de año;2023M06;5.513.617
01 Andalucía;Acumulado en lo que va de año;2023M05;4.354.730
01 Andalucía;Acumulado en lo que va de año;2023M04;3.142.940
01 Andalucía;Acumulado en lo que va de año;2023M03;1.986.599
01 Andalucía;Acumulado en lo que va de año;2023M02;1.183.461
01 Andalucía;Acumulado en lo que va de año;2023M01;571.873
01 Andalucía;Acumulado en lo que va de año;2022M12;10.009.890
01 Andalucía;Acumulado en lo que va de año;2022M11;9.475.963
01 Andalucía;Acumulado en lo que va de año;2022M10;8.883.834
01 Andalucía;Acumulado en lo que va de año;2022M09;7.835.722
01 Andalucía;Acumulado en lo que va de año;2022M08;6.734.718
01 Andalucía;Acumulado en lo que va de año;2022M07;5.438.818
01 Andalucía;Acumulado en lo que va de año;2022M06;4.316.239
